2010,,,,,
,Date,Two-party-preferred,,Days Since,Net on 2PP (Incumbent - Oppositon)
22–23 Mar 2013,23-Mar-13,0.45,0.55000000000000004,945,-0.10000000000000003
22–24 Mar 2013,24-Mar-13,0.42,0.57999999999999996,946,-0.15999999999999998
21–24 Mar 2013,24-Mar-13,0.46,0.54,946,-8.0000000000000016E-2
21–24 Mar 2013,24-Mar-13,0.44,0.56000000000000005,946,-0.12000000000000005
22–25 Mar 2013,25-Mar-13,0.44,0.56000000000000005,947,-0.12000000000000005
29 Mar–1 Apr 2013,01-Apr-13,0.42499999999999999,0.57499999999999996,954,-0.14999999999999997
28 Mar–1 Apr 2013,01-Apr-13,0.44,0.56000000000000005,954,-0.12000000000000005
5–7 Apr 2013,07-Apr-13,0.45,0.55000000000000004,960,-0.10000000000000003
4–7 Apr 2013,07-Apr-13,0.44,0.56000000000000005,960,-0.12000000000000005
4–7 Apr 2013,07-Apr-13,0.44,0.56000000000000005,960,-0.12000000000000005
9–11 Apr 2013,11-Apr-13,0.46,0.54,964,-8.0000000000000016E-2
11–13 Apr 2013,13-Apr-13,0.43,0.56999999999999995,966,-0.13999999999999996
11–14 Apr 2013,14-Apr-13,0.44,0.56000000000000005,967,-0.12000000000000005
11–14 Apr 2013,14-Apr-13,0.45,0.55000000000000004,967,-0.10000000000000003
19–21 Apr 2013,21-Apr-13,0.45,0.55000000000000004,974,-0.10000000000000003
18–22 Apr 2013,22-Apr-13,0.46,0.54,975,-8.0000000000000016E-2
18–22 Apr 2013,22-Apr-13,0.45,0.55000000000000004,975,-0.10000000000000003
26–28 Apr 2013,28-Apr-13,0.435,0.56499999999999995,981,-0.12999999999999995
25–28 Apr 2013,28-Apr-13,0.45,0.55000000000000004,981,-0.10000000000000003
02-May-13,02-May-13,0.42,0.57999999999999996,985,-0.15999999999999998
02-May-13,02-May-13,0.43,0.56999999999999995,985,-0.13999999999999996
3–5 May 2013,05-May-13,0.44,0.56000000000000005,988,-0.12000000000000005
3–5 May 2013,05-May-13,0.44,0.56000000000000005,988,-0.12000000000000005
2–5 May 2013,05-May-13,0.44,0.56000000000000005,988,-0.12000000000000005
10–12 May 2013,12-May-13,0.44,0.56000000000000005,995,-0.12000000000000005
9–12 May 2013,12-May-13,0.45,0.55000000000000004,995,-0.10000000000000003
15–16 May 2013,16-May-13,0.46,0.54,999,-8.0000000000000016E-2
16–18 May 2013,18-May-13,0.46,0.54,1001,-8.0000000000000016E-2
17–19 May 2013,19-May-13,0.44,0.56000000000000005,1002,-0.12000000000000005
17–19 May 2013,19-May-13,0.45,0.55000000000000004,1002,-0.10000000000000003
16–19 May 2013,19-May-13,0.45,0.55000000000000004,1002,-0.10000000000000003
24–26 May 2013,26-May-13,0.45500000000000002,0.54500000000000004,1009,-9.0000000000000024E-2
23–26 May 2013,26-May-13,0.45,0.55000000000000004,1009,-0.10000000000000003
31 May–2 Jun 2013,02-Jun-13,0.42,0.57999999999999996,1016,-0.15999999999999998
31 May–2 Jun 2013,02-Jun-13,0.44500000000000001,0.55500000000000005,1016,-0.11000000000000004
30 May–2 Jun 2013,02-Jun-13,0.45,0.55000000000000004,1016,-0.10000000000000003
7–10 Jun 2013,10-Jun-13,0.44,0.56000000000000005,1024,-0.12000000000000005
6–10 Jun 2013,10-Jun-13,0.46,0.54,1024,-8.0000000000000016E-2
11–13 Jun 2013,13-Jun-13,0.45,0.55000000000000004,1027,-0.10000000000000003
13–15 Jun 2013,15-Jun-13,0.43,0.56999999999999995,1029,-0.13999999999999996
14–16 Jun 2013,16-Jun-13,0.45500000000000002,0.54500000000000004,1030,-9.0000000000000024E-2
13–16 Jun 2013,16-Jun-13,0.46,0.54,1030,-8.0000000000000016E-2
21–23 Jun 2013,23-Jun-13,0.43,0.56999999999999995,1037,-0.13999999999999996
21–23 Jun 2013,23-Jun-13,0.435,0.56499999999999995,1037,-0.12999999999999995
20–23 Jun 2013,23-Jun-13,0.45,0.55000000000000004,1037,-0.10000000000000003
27-Jun-13,27-Jun-13,0.48,0.52,1041,-4.0000000000000036E-2
27–28 Jun 2013,28-Jun-13,0.49,0.51,1042,-2.0000000000000018E-2
28–30 Jun 2013,30-Jun-13,0.49,0.51,1044,-2.0000000000000018E-2
28–30 Jun 2013,30-Jun-13,0.51,0.49,1044,2.0000000000000018E-2
27–30 Jun 2013,30-Jun-13,0.47,0.53,1044,-6.0000000000000053E-2
5–7 Jul 2013,07-Jul-13,0.5,0.5,1051,0
5–7 Jul 2013,07-Jul-13,0.52500000000000002,0.47499999999999998,1051,5.0000000000000044E-2
4–7 Jul 2013,07-Jul-13,0.48,0.52,1051,-4.0000000000000036E-2
5–8 Jul 2013,08-Jul-13,0.51,0.49,1052,2.0000000000000018E-2
11–13 Jul 2013,13-Jul-13,0.5,0.5,1057,0
12–14 Jul 2013,14-Jul-13,0.51500000000000001,0.48499999999999999,1058,3.0000000000000027E-2
11–14 Jul 2013,14-Jul-13,0.48,0.52,1058,-4.0000000000000036E-2
18-Jul-13,18-Jul-13,0.49,0.51,1062,-2.0000000000000018E-2
19–21 Jul 2013,21-Jul-13,0.52,0.48,1065,4.0000000000000036E-2
19–21 Jul 2013,21-Jul-13,0.48,0.52,1065,-4.0000000000000036E-2
18–22 Jul 2013,22-Jul-13,0.49,0.51,1066,-2.0000000000000018E-2
23–25 Jul 2013,25-Jul-13,0.5,0.5,1069,0
26–28 Jul 2013,28-Jul-13,0.505,0.495,1072,1.0000000000000009E-2
25–28 Jul 2013,28-Jul-13,0.49,0.51,1072,-2.0000000000000018E-2
04-Aug-13,04-Aug-13,0.48,0.52,1079,-4.0000000000000036E-2
2–4 Aug 2013,04-Aug-13,0.495,0.505,1079,-1.0000000000000009E-2
2–4 Aug 2013,04-Aug-13,0.48,0.52,1079,-4.0000000000000036E-2
1–4 Aug 2013,04-Aug-13,0.49,0.51,1079,-2.0000000000000018E-2
6–8 Aug 2013,08-Aug-13,0.48,0.52,1083,-4.0000000000000036E-2
7–9 Aug 2013,09-Aug-13,0.49,0.51,1084,-2.0000000000000018E-2
10-Aug-13,10-Aug-13,0.47,0.53,1085,-6.0000000000000053E-2
9–11 Aug 2013,11-Aug-13,0.48,0.52,1086,-4.0000000000000036E-2
9–11 Aug 2013,11-Aug-13,0.48499999999999999,0.51500000000000001,1086,-3.0000000000000027E-2
9–12 Aug 2013,12-Aug-13,0.49,0.51,1087,-2.0000000000000018E-2
12–13 Aug 2013,13-Aug-13,0.43,0.56999999999999995,1088,-0.13999999999999996
14–15 Aug 2013,15-Aug-13,0.48,0.52,1090,-4.0000000000000036E-2
16–18 Aug 2013,18-Aug-13,0.46,0.54,1093,-8.0000000000000016E-2
16–18 Aug 2013,18-Aug-13,0.48,0.52,1093,-4.0000000000000036E-2
16–18 Aug 2013,18-Aug-13,0.5,0.5,1093,0
14–18 Aug 2013,18-Aug-13,0.5,0.5,1093,0
18–22 Aug 2013,22-Aug-13,0.47,0.53,1097,-6.0000000000000053E-2
21–25 Aug 2013,25-Aug-13,0.5,0.5,1100,0
23–25 Aug 2013,25-Aug-13,0.47,0.53,1100,-6.0000000000000053E-2
23–25 Aug 2013,25-Aug-13,0.47499999999999998,0.52500000000000002,1100,-5.0000000000000044E-2
26-Aug-13,26-Aug-13,0.47,0.53,1101,-6.0000000000000053E-2
28–29 Aug 2013,29-Aug-13,0.47,0.53,1104,-6.0000000000000053E-2
28–29 Aug 2013,29-Aug-13,0.46,0.54,1104,-8.0000000000000016E-2
30 Aug–1 Sep 2013,01-Sep-13,0.48,0.52,1107,-4.0000000000000036E-2
30 Aug–1 Sep 2013,01-Sep-13,0.46,0.54,1107,-8.0000000000000016E-2
29 Aug–1 Sep 2013,01-Sep-13,0.48,0.52,1107,-4.0000000000000036E-2
03-Sep-13,03-Sep-13,0.48,0.52,1109,-4.0000000000000036E-2
04-Sep-13,04-Sep-13,0.47,0.53,1110,-6.0000000000000053E-2
2–4 Sep 2013,04-Sep-13,0.47,0.53,1110,-6.0000000000000053E-2
1–4 Sep 2013,04-Sep-13,0.48,0.52,1110,-4.0000000000000036E-2
05-Sep-13,05-Sep-13,0.47,0.53,1111,-6.0000000000000053E-2
4–5 Sep 2013,05-Sep-13,0.46,0.54,1111,-8.0000000000000016E-2
3–5 Sep 2013,05-Sep-13,0.46,0.54,1111,-8.0000000000000016E-2
4–6 Sep 2013,06-Sep-13,0.44500000000000001,0.54500000000000004,1112,-0.10000000000000003
