Fadden,UAP,6.63
Fadden,One,8.68
Fadden,LNP,44.62
Fadden,Grn,10.73
Fadden,LDP,2.83
Fairfax,LNP,44.91
Fairfax,IMO,1.93
Fairfax,AJP,2.1
Fairfax,Ind,1.37
Fairfax,Grn,13.37
Fairfax,Ind,0.71
Fairfax,UAP,5.92
Fairfax,ALP,21.86
Fairfax,GAP,1.27
Fairfax,One,6.56
Fisher,One,9.31
Fisher,ALP,23.33
Fisher,LNP,44.25
Fisher,AJP,2.52
Fisher,Grn,13.81
Fisher,UAP,6.78
Flynn,ALP,33.53
Flynn,Grn,4.34
Flynn,GAP,2.18
Flynn,One,12.23
Flynn,Ind,4.06
Flynn,UAP,6.79
Flynn,LNP,36.88
Forde,UAP,7.91
Forde,LNP,36.91
Forde,Grn,9.85
Forde,TNL,0.77
Forde,ALP,28.01
Forde,One,8.01
Forde,LDP,2.82
Forde,Ind,3.14
Forde,AJP,2.58
Griffith,One,3.3
Griffith,Grn,34.59
Griffith,ALP,28.94
Griffith,UAP,2.43
Griffith,LNP,30.74
Groom,CYA,1.6
Groom,One,9.56
Groom,Grn,5.85
Groom,UAP,5.13
Groom,Ind,7.14
Groom,Ind,8.26
Groom,LNP,43.72
Groom,ALP,18.73
Herbert,IMO,1.79
Herbert,ALP,21.6
Herbert,Grn,8.22
Herbert,GAP,0.81
Herbert,LNP,47.01
Herbert,Ind,3.23
Herbert,Ind,1.02
Herbert,UAP,2.58
Herbert,KAP,7
Herbert,AJP,1.47
Herbert,One,5.27
Hinkler,LNP,42.13
Hinkler,UAP,7.31
Hinkler,One,8.71
Hinkler,ALP,23.31
Hinkler,Grn,5.48
Hinkler,Ind,13.05
Kennedy,KAP,41.7
Kennedy,LNP,28.19
Kennedy,Ind,3.18
Kennedy,Grn,6.42
Kennedy,ALP,16.06
Kennedy,UAP,4.44
Leichhardt,SAL,4.07
Leichhardt,IMO,1.79
Leichhardt,LNP,36.7
Leichhardt,KAP,5.63
Leichhardt,SOPA,1.01
Leichhardt,AJP,1.37
Leichhardt,Grn,9.97
Leichhardt,UAP,3.92
Leichhardt,One,7.44
Leichhardt,CYA,0.51
Leichhardt,ALP,27.6
Lilley,UAP,3.35
Lilley,Grn,17.09
Lilley,LNP,29.83
Lilley,IMO,1.39
Lilley,LDP,2.44
Lilley,ALP,41.84
Lilley,One,4.07
Longman,ALP,31.5
Longman,UAP,5.51
Longman,HMP,5.58
Longman,Grn,7.23
Longman,One,8.25
Longman,LDP,1.86
Longman,AJP,1.91
Longman,LNP,38.17
Maranoa,LNP,56.26
Maranoa,ASP,3.97
Maranoa,ALP,15.29
Maranoa,UAP,6.66
Maranoa,Grn,4.87
Maranoa,One,11.89
Maranoa,CYA,1.07
McPherson,LNP,43.56
McPherson,One,7.22
McPherson,CYA,0.61
McPherson,Grn,15.42
McPherson,AUVA,2.38
McPherson,UAP,6.69
McPherson,LDP,2.12
McPherson,ALP,22
Moncrieff,LNP,45.94
Moncrieff,One,7.11
Moncrieff,CYA,0.66
Moncrieff,AJP,2.43
Moncrieff,Grn,12.07
Moncrieff,ALP,20.81
Moncrieff,LDP,4.38
Moncrieff,IMO,1.02
Moncrieff,UAP,5.58
Moreton,CYA,1.59
Moreton,One,3.63
Moreton,ALP,37.42
Moreton,Grn,20.8
Moreton,LNP,33.25
Moreton,UAP,3.31
Oxley,UAP,5.32
Oxley,Grn,14.25
Oxley,LNP,28.7
Oxley,One,5.84
Oxley,ALP,45.89
Petrie,UAP,5.55
Petrie,Grn,11.42
Petrie,LDP,2.06
Petrie,One,5.27
Petrie,ALP,30.02
Petrie,LNP,43.49
Petrie,AJP,2.19
Rankin,LNP,29.01
Rankin,Grn,10.7
Rankin,UAP,5.77
Rankin,One,7.98
Rankin,AJP,2.6
Rankin,ALP,43.95
Ryan,UAP,2.08
Ryan,LDP,2.6
Ryan,AUP,0.61
Ryan,One,2.25
Ryan,AJP,1.1
Ryan,Grn,30.21
Ryan,ALP,22.3
Ryan,LNP,38.5
Ryan,CYA,0.36
Wide_Bay,Ind,4.29
Wide_Bay,One,10.2
Wide_Bay,UAP,4.6
Wide_Bay,Grn,9.5
Wide_Bay,LNP,43.47
Wide_Bay,CYA,0.52
Wide_Bay,Ind,2.86
Wide_Bay,ALP,21.26
