,,,,,,,,,,
StateAb,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,CalculationType,CalculationValue
ACT,Canberra,2,3,32830,BOHM,Tim,IND,Independent,Preference Count,6276
ACT,Canberra,2,3,32830,BOHM,Tim,IND,Independent,Preference Percent,6.8
ACT,Canberra,2,3,32830,BOHM,Tim,IND,Independent,Transfer Count,1299
ACT,Canberra,2,3,32830,BOHM,Tim,IND,Independent,Transfer Percent,51.02
ACT,Canberra,2,4,37211,MINSON,Slade,LP,Liberal,Preference Count,21250
ACT,Canberra,2,4,37211,MINSON,Slade,LP,Liberal,Preference Percent,23.02
ACT,Canberra,2,4,37211,MINSON,Slade,LP,Liberal,Transfer Count,845
ACT,Canberra,2,4,37211,MINSON,Slade,LP,Liberal,Transfer Percent,33.19
ACT,Canberra,2,5,36241,HOLLO,Tim,GRN,The Greens,Preference Count,23030
ACT,Canberra,2,5,36241,HOLLO,Tim,GRN,The Greens,Preference Percent,24.95
ACT,Canberra,2,5,36241,HOLLO,Tim,GRN,The Greens,Transfer Count,169
ACT,Canberra,2,5,36241,HOLLO,Tim,GRN,The Greens,Transfer Percent,6.64
ACT,Canberra,2,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Preference Count,41766
ACT,Canberra,2,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Preference Percent,45.24
ACT,Canberra,2,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Transfer Count,233
ACT,Canberra,2,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Transfer Percent,9.15
ACT,Canberra,3,1,36238,SMITH,Catherine,UAPP,United Australia Party,Preference Count,0
ACT,Canberra,3,1,36238,SMITH,Catherine,UAPP,United Australia Party,Preference Percent,0
ACT,Canberra,3,1,36238,SMITH,Catherine,UAPP,United Australia Party,Transfer Count,0
ACT,Canberra,3,1,36238,SMITH,Catherine,UAPP,United Australia Party,Transfer Percent,0
ACT,Canberra,3,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Preference Count,0
ACT,Canberra,3,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Preference Percent,0
ACT,Canberra,3,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Transfer Count,0
ACT,Canberra,3,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Transfer Percent,0
ACT,Canberra,3,3,32830,BOHM,Tim,IND,Independent,Preference Count,0
ACT,Canberra,3,3,32830,BOHM,Tim,IND,Independent,Preference Percent,0
ACT,Canberra,3,3,32830,BOHM,Tim,IND,Independent,Transfer Count,-6276
ACT,Canberra,3,3,32830,BOHM,Tim,IND,Independent,Transfer Percent,-100
ACT,Canberra,3,4,37211,MINSON,Slade,LP,Liberal,Preference Count,23390
ACT,Canberra,3,4,37211,MINSON,Slade,LP,Liberal,Preference Percent,25.34
ACT,Canberra,3,4,37211,MINSON,Slade,LP,Liberal,Transfer Count,2140
ACT,Canberra,3,4,37211,MINSON,Slade,LP,Liberal,Transfer Percent,34.1
ACT,Canberra,3,5,36241,HOLLO,Tim,GRN,The Greens,Preference Count,25423
