Eliminated Party,Pref to,Number
UAPP,IND,126
UAPP,LP,596
GRN,ALP,311
GRN,GRN,269
GRN,IND,932
GRN,LP,1426
ALP,ALP,2835
ALP,IND,4442
ALP,LP,502
GRN,LDP,890
GRN,UAPP,2011
GRN,ALP,662
GRN,GRN,529
GRN,LP,1004
LDP,LDP,673
LDP,UAPP,1088
LDP,ALP,4521
LDP,LP,1019
UAPP,UAPP,4566
UAPP,ALP,2215
UAPP,LP,3760
UAPP,ALP,731
UAPP,ON,746
UAPP,LP,1715
UAPP,UAPP,664
UAPP,GRN,206
ON,ALP,886
ON,ON,3303
ON,LP,1555
ON,GRN,806
GRN,ALP,3304
GRN,LP,5572
GRN,GRN,2716
CEC,CLP,14
CEC,GRN,25
CEC,CEC,9
CEC,UAPP,15
CEC,ALP,25
CEC,IND,277
CEC,ON,31
CEC,LDP,13
IND,CLP,115
IND,GRN,94
IND,UAPP,101
IND,ALP,49
IND,IND,86
IND,ON,29
IND,LDP,32
LDP,CLP,190
LDP,GRN,320
LDP,UAPP,179
LDP,ALP,230
LDP,ON,283
LDP,LDP,109
UAPP,CLP,705
UAPP,GRN,214
UAPP,UAPP,315
UAPP,ALP,340
UAPP,ON,528
ON,CLP,582
ON,GRN,435
ON,ALP,347
ON,ON,1128
GRN,CLP,2505
GRN,GRN,1042
GRN,ALP,922
ON,LDP,385
ON,GRN,293
ON,ALP,281
ON,CLP,292
ON,ON,1377
LDP,LDP,1696
LDP,GRN,756
LDP,ALP,519
LDP,CLP,1354
GRN,GRN,1921
GRN,ALP,1706
GRN,CLP,4293
AJP,GRN,219
AJP,LDP,175
AJP,UAPP,213
AJP,ON,414
AJP,ALP,274
AJP,AJP,482
AJP,LNP,326
LDP,GRN,1055
LDP,LDP,185
LDP,UAPP,342
LDP,ON,593
LDP,ALP,463
LDP,LNP,407
UAPP,GRN,542
UAPP,UAPP,659
UAPP,ON,736
UAPP,ALP,477
UAPP,LNP,1026
GRN,GRN,1124
GRN,ON,4622
GRN,ALP,870
GRN,LNP,951
ON,ON,3433
ON,ALP,10222
ON,LNP,2398
ON,LNP,647
ON,ON,1852
ON,ALP,328
ON,GRN,350
GRN,LNP,4254
GRN,ALP,1244
GRN,GRN,1725
UAPP,ON,188
UAPP,UAPP,157
UAPP,GRN,408
UAPP,LNP,229
UAPP,ALP,261
ON,ON,4609
ON,GRN,744
ON,LNP,906
ON,ALP,499
GRN,GRN,4028
GRN,LNP,6434
GRN,ALP,2160
AJP,AJP,133
AJP,UAPP,266
AJP,GRN,162
AJP,ALP,178
AJP,LNP,654
AJP,ON,414
UAPP,UAPP,423
UAPP,GRN,1100
UAPP,ALP,314
UAPP,LNP,235
UAPP,ON,196
ON,GRN,581
ON,ALP,211
ON,LNP,528
ON,ON,1471
ALP,GRN,1257
ALP,ALP,577
ALP,LNP,2676
LDP,ON,272
LDP,GRN,141
LDP,ALP,78
LDP,LDP,55
LDP,IND,195
LDP,UAPP,57
LDP,LNP,52
LDP,GAP,276
GAP,ON,302
GAP,GRN,85
GAP,ALP,158
GAP,IND,200
GAP,UAPP,197
GAP,LNP,424
GAP,GAP,81
IND,ON,635
IND,GRN,83
IND,ALP,73
IND,IND,425
IND,UAPP,691
IND,LNP,197
UAPP,ON,1156
UAPP,GRN,575
UAPP,ALP,704
UAPP,UAPP,844
UAPP,LNP,589
GRN,ON,3445
GRN,GRN,408
GRN,ALP,531
GRN,LNP,960
ON,ON,1408
ON,ALP,4204
ON,LNP,982
UAPP,LNP,161
UAPP,ON,473
UAPP,ALP,216
UAPP,UAPP,463
UAPP,KAP,505
UAPP,GRN,130
KAP,LNP,512
KAP,ON,1799
KAP,ALP,363
KAP,KAP,1226
KAP,GRN,276
GRN,LNP,1274
GRN,ON,3953
GRN,ALP,942
GRN,GRN,751
ON,LNP,1248
ON,ON,1498
ON,ALP,5086
IND,IND,198
IND,LNP,424
IND,IND,75
IND,ON,237
IND,UAPP,126
IND,ALP,90
IND,GRN,86
UAPP,IND,897
UAPP,LNP,146
UAPP,ON,155
UAPP,UAPP,84
UAPP,ALP,203
UAPP,GRN,208
IND,IND,540
IND,LNP,363
IND,ON,1449
IND,ALP,297
