ID1,ID2,Number
GRN,ON,302
GRN,NP,649
GRN,ALP,2270
IAP,LDP,1613
IAP,ON,1339
IAP,NP,1334
IAP,ALP,2420
LDP,ON,3877
LDP,NP,3428
LDP,ALP,1210
LDP,AJP,51
LDP,LP,491
LDP,ON,160
LDP,UAPP,289
LDP,GRN,77
LDP,ALP,145
LDP,IND,97
ON,AJP,209
ON,LP,427
ON,UAPP,990
ON,GRN,103
ON,ALP,160
ON,IND,282
AJP,LP,992
AJP,UAPP,314
AJP,GRN,603
AJP,ALP,405
AJP,IND,343
IND,LP,1127
IND,UAPP,827
IND,GRN,756
IND,ALP,994
UAPP,LP,3514
UAPP,GRN,1651
UAPP,ALP,1524
LDP,ON,285
LDP,LP,484
LDP,ALP,195
LDP,IMO,125
LDP,GRN,152
LDP,UAPP,380
IMO,ON,580
IMO,LP,176
IMO,ALP,315
IMO,GRN,341
IMO,UAPP,596
UAPP,ON,3552
UAPP,LP,590
UAPP,ALP,555
UAPP,GRN,753
GRN,ON,1316
GRN,LP,1144
GRN,ALP,7463
SOPA,ALP,362
SOPA,ON,73
SOPA,IND,229
SOPA,LDP,43
SOPA,LP,79
SOPA,UAPP,49
SOPA,GRN,718
LDP,ALP,236
LDP,ON,215
LDP,IND,185
LDP,LP,779
LDP,UAPP,371
LDP,GRN,81
ON,ALP,215
ON,IND,458
ON,LP,377
ON,UAPP,1159
ON,GRN,76
IND,ALP,1055
IND,LP,1068
IND,UAPP,980
IND,GRN,763
UAPP,ALP,1487
UAPP,LP,2386
UAPP,GRN,1216
IND,IND,903
IND,IMO,101
IND,IND,94
IND,LDP,38
IND,ALP,30
IND,NP,31
IND,ON,23
IND,GRN,30
IND,UAPP,24
IMO,IND,416
IMO,IND,991
IMO,LDP,217
IMO,ALP,75
IMO,NP,41
IMO,ON,263
IMO,GRN,193
IMO,UAPP,176
UAPP,IND,225
UAPP,IND,157
UAPP,LDP,523
UAPP,ALP,178
UAPP,NP,257
UAPP,ON,1451
UAPP,GRN,331
IND,IND,2343
IND,LDP,210
IND,ALP,294
IND,NP,219
IND,ON,126
IND,GRN,326
IND,LDP,2465
IND,ALP,568
IND,NP,479
IND,ON,1148
IND,GRN,1266
ON,LDP,2965
ON,ALP,824
ON,NP,2052
ON,GRN,1243
LDP,ALP,2677
LDP,NP,9175
LDP,GRN,2247
UAPP,ON,985
UAPP,ALP,269
UAPP,ASP,361
UAPP,NP,383
UAPP,IND,179
UAPP,LDP,320
UAPP,GRN,88
IND,ON,534
IND,ALP,457
IND,ASP,507
IND,NP,481
IND,LDP,401
IND,GRN,500
GRN,ON,426
GRN,ALP,4304
GRN,ASP,673
GRN,NP,847
GRN,LDP,687
ASP,ON,2607
ASP,ALP,1643
ASP,NP,2463
ASP,LDP,1108
LDP,ON,3119
LDP,ALP,1596
LDP,NP,4364
CYA,AJP,12
CYA,ALP,13
CYA,CEC,20
CYA,LP,13
CYA,UAPP,16
CYA,LDP,14
CYA,IAP,12
CYA,ON,53
CYA,IMO,38
CYA,GRN,29
CEC,AJP,47
CEC,ALP,42
CEC,LP,44
CEC,UAPP,32
CEC,LDP,25
CEC,IAP,33
CEC,ON,27
CEC,IMO,20
CEC,GRN,22
LDP,AJP,26
LDP,ALP,59
LDP,LP,254
LDP,UAPP,153
LDP,IAP,38
LDP,ON,158
LDP,IMO,52
LDP,GRN,35
IAP,AJP,226
IAP,ALP,237
IAP,LP,111
IAP,UAPP,68
IAP,ON,106
IAP,IMO,131
IAP,GRN,331
IMO,AJP,201
IMO,ALP,95
IMO,LP,74
IMO,UAPP,414
IMO,ON,399
IMO,GRN,172
AJP,ALP,828
AJP,LP,294
AJP,UAPP,303
AJP,ON,274
AJP,GRN,762
UAPP,ALP,322
UAPP,LP,909
UAPP,ON,2165
UAPP,GRN,382
ON,ALP,1676
ON,LP,3170
ON,GRN,2015
IND,AJP,496
IND,LDP,324
IND,LP,325
IND,ALP,501
IND,UAPP,187
IND,GRN,410
IND,ON,311
LDP,AJP,270
LDP,LP,1444
LDP,ALP,313
LDP,UAPP,696
LDP,GRN,143
LDP,ON,442
AJP,LP,1032
AJP,ALP,783
AJP,UAPP,403
AJP,GRN,1054
AJP,ON,473
UAPP,LP,742
UAPP,ALP,478
UAPP,GRN,526
UAPP,ON,2665
ON,LP,5281
ON,ALP,2222
ON,GRN,2785
CEC,SAL,106
CEC,ALP,269
CEC,ON,74
CEC,GRN,275
CEC,UAPP,130
CEC,LP,148
SAL,ALP,522
SAL,ON,138
SAL,GRN,831
SAL,UAPP,75
SAL,LP,58
ON,ALP,242
ON,GRN,222
ON,UAPP,1309
ON,LP,328
UAPP,ALP,658
UAPP,GRN,1029
UAPP,LP,2125
AJP,ON,104
AJP,IND,412
AJP,UAPP,100
AJP,GRN,452
AJP,LP,191
AJP,ALP,216
ON,IND,356
ON,UAPP,1261
ON,GRN,97
ON,LP,285
ON,ALP,85
UAPP,IND,997
UAPP,GRN,436
UAPP,LP,1866
UAPP,ALP,264
GRN,IND,4770
GRN,LP,771
GRN,ALP,2354
ON,LP,702
ON,UAPP,2539
ON,ALP,544
ON,GRN,393
GRN,LP,935
GRN,UAPP,850
GRN,ALP,6808
ON,ALP,56
ON,GRN,56
ON,UAPP,475
ON,IND,76
ON,LDP,126
ON,LP,106
LDP,ALP,56
LDP,GRN,44
LDP,UAPP,650
LDP,IND,126
LDP,LP,596
UAPP,ALP,311
UAPP,GRN,269
UAPP,IND,932
UAPP,LP,1426
GRN,ALP,2835
GRN,IND,4442
GRN,LP,502
ON,LDP,890
ON,UAPP,2011
ON,ALP,662
ON,GRN,529
ON,LP,1004
GRN,LDP,673
GRN,UAPP,1088
GRN,ALP,4521
GRN,LP,1019
LDP,UAPP,4566
LDP,ALP,2215
LDP,LP,3760
LDP,ALP,731
LDP,ON,746
LDP,LP,1715
LDP,UAPP,664
LDP,GRN,206
UAPP,ALP,886
UAPP,ON,3303
UAPP,LP,1555
UAPP,GRN,806
ON,ALP,3304
ON,LP,5572
ON,GRN,2716
IND,CLP,14
IND,GRN,25
IND,CEC,9
IND,UAPP,15
IND,ALP,25
IND,IND,277
IND,ON,31
IND,LDP,13
CEC,CLP,115
CEC,GRN,94
CEC,UAPP,101
CEC,ALP,49
CEC,IND,86
CEC,ON,29
CEC,LDP,32
IND,CLP,190
IND,GRN,320
IND,UAPP,179
IND,ALP,230
IND,ON,283
IND,LDP,109
LDP,CLP,705
LDP,GRN,214
LDP,UAPP,315
LDP,ALP,340
LDP,ON,528
UAPP,CLP,582
UAPP,GRN,435
UAPP,ALP,347
UAPP,ON,1128
ON,CLP,2505
ON,GRN,1042
ON,ALP,922
UAPP,LDP,385
UAPP,GRN,293
UAPP,ALP,281
UAPP,CLP,292
UAPP,ON,1377
ON,LDP,1696
ON,GRN,756
ON,ALP,519
ON,CLP,1354
LDP,GRN,1921
LDP,ALP,1706
LDP,CLP,4293
AUVA,GRN,219
AUVA,LDP,175
AUVA,UAPP,213
AUVA,ON,414
AUVA,ALP,274
AUVA,AJP,482
AUVA,LNP,326
AJP,GRN,1055
AJP,LDP,185
AJP,UAPP,342
AJP,ON,593
AJP,ALP,463
AJP,LNP,407
LDP,GRN,542
LDP,UAPP,659
LDP,ON,736
LDP,ALP,477
LDP,LNP,1026
UAPP,GRN,1124
UAPP,ON,4622
UAPP,ALP,870
UAPP,LNP,951
GRN,ON,3433
GRN,ALP,10222
GRN,LNP,2398
UAPP,LNP,647
UAPP,ON,1852
UAPP,ALP,328
UAPP,GRN,350
ON,LNP,4254
ON,ALP,1244
ON,GRN,1725
TNL,ON,188
TNL,UAPP,157
TNL,GRN,408
TNL,LNP,229
TNL,ALP,261
UAPP,ON,4609
UAPP,GRN,744
UAPP,LNP,906
UAPP,ALP,499
ON,GRN,4028
ON,LNP,6434
ON,ALP,2160
LDP,AJP,133
LDP,UAPP,266
LDP,GRN,162
LDP,ALP,178
LDP,LNP,654
LDP,ON,414
AJP,UAPP,423
AJP,GRN,1100
AJP,ALP,314
AJP,LNP,235
